file,label,象形度,聚类紧密度,结构相似度,语义匹配度,模型一致度,独特性,轮廓复杂度,图像熵,视觉复杂度
oracle_selected_glyphs\祖\1.png,祖,0.6159155752144607,0.2174052894115448,0.8760655921102544,0.2721044486247646,0.044189453125,0.12393440788974563,1.984375,5.095443442352064,0.0261688232421875
oracle_selected_glyphs\祖\2.png,祖,0.6649672564338236,0.08706030249595642,0.8741441650408005,0.27814530228523315,0.044189453125,0.1258558349591995,1.984375,4.101765832302884,0.020599365234375
oracle_selected_glyphs\祖\3.png,祖,0.6670213886335784,0.11630943417549133,0.8609802958453454,0.25995038530363795,0.044189453125,0.1390197041546546,1.984375,5.22581453787098,0.026580810546875
oracle_selected_glyphs\祖\4.png,祖,0.6728534773284314,0.09349892288446426,0.8134821793943531,0.24408619040878432,0.044189453125,0.18651782060564692,1.984375,4.114141213573792,0.020416259765625
oracle_selected_glyphs\祝\1.png,祝,0.7430592256433823,0.0924433022737503,0.8399636624660638,0.27587214410891914,0.044189453125,0.1600363375339362,1.984375,2.4087567405225485,0.01287078857421875
oracle_selected_glyphs\祝\2.png,祝,0.7862319048713236,0.0867050290107727,0.860623215156185,0.25181986439708803,0.044189453125,0.139376784843815,1.984375,3.1897401641997036,0.01495361328125
oracle_selected_glyphs\祝\3.png,祝,0.7871787875306373,0.1316511631011963,0.8635978537933933,0.27171053095769326,0.044189453125,0.13640214620660673,1.984375,3.033157291650683,0.01206207275390625
oracle_selected_glyphs\祝\4.png,祝,0.7791815065870098,0.10143867880105972,0.855740693378227,0.29815642304665874,0.044158935546875,0.144259306621773,1.984375,3.253257866790737,0.01493072509765625
oracle_selected_glyphs\祝\5.png,祝,0.766506778492647,0.10163755714893341,0.8668624255484139,0.2556007980148466,0.044219970703125,0.13313757445158614,1.984375,3.041193618578854,0.0128021240234375
oracle_selected_glyphs\祭\1.png,祭,0.6868628408394608,0.11405299603939056,0.8795903965750296,0.28005537812190223,0.044189453125,0.12040960342497042,3.03125,3.1053594189021796,0.01485443115234375
oracle_selected_glyphs\祭\2.png,祭,0.7993192784926471,0.09793708473443985,0.883085135974035,0.2701060741465264,0.044189453125,0.11691486402596496,2.03515625,1.9781331287492154,0.00798797607421875
oracle_selected_glyphs\祭\3.png,祭,0.8516965379901961,0.08871129155158997,0.8316508718524384,0.23464088933982694,0.044189453125,0.16834912814756164,1.984375,1.5085264247223955,0.0068359375
oracle_selected_glyphs\祭\4.png,祭,0.6871371400122549,0.1020788624882698,0.8562018877772373,0.2891949246323549,0.044189453125,0.14379811222276273,1.984375,3.2441100858210277,0.015869140625
oracle_selected_glyphs\祭\5.png,祭,0.8306559244791667,0.07714471220970154,0.8683161607848088,0.25358720901491777,0.044189453125,0.13168383921519122,2.07421875,2.0435799762778695,0.009124755859375
oracle_selected_glyphs\祭\6.png,祭,0.720910405177696,0.12179245799779892,0.8751116676683732,0.27753015144843696,0.044189453125,0.12488833233162677,1.984375,2.8425492835819064,0.01284027099609375
oracle_selected_glyphs\鬼\1.png,鬼,0.8748994715073529,0.11542405188083649,0.864104870959259,0.2635503941262233,0.044219970703125,0.13589512904074097,1.984375,1.68600056805611,0.00780487060546875
oracle_selected_glyphs\鬼\2.png,鬼,0.8358522901348039,0.12694059312343597,0.8875996784866238,0.26730754921415883,0.044189453125,0.1124003215133762,1.984375,2.4910751367336066,0.01052093505859375
oracle_selected_glyphs\鬼\3.png,鬼,0.7231713388480392,0.1267578899860382,0.8788888042809619,0.27487646847861025,0.044189453125,0.12111119571903806,4.46484375,3.0434680639558143,0.01345062255859375
oracle_selected_glyphs\鬼\4.png,鬼,0.779058957567402,0.0839281901717186,0.8754690149596285,0.26704744157643123,0.044189453125,0.12453098504037152,1.9765625,2.230902218997665,0.01110076904296875
oracle_selected_glyphs\鬼\5.png,鬼,0.9081614774816177,0.11486916989088058,0.8715381304472618,0.26385484743187493,0.044189453125,0.1284618695527382,1.984375,1.384376986576336,0.006145477294921875
oracle_selected_glyphs\鬼\6.png,鬼,0.8678284888174019,0.09883062541484833,0.8854985093830718,0.2648565895796307,0.044158935546875,0.11450149061692816,2.015625,1.3690839942497615,0.00608062744140625
